PM10,SO2,NO2,CO,O3,TEMP,RAIN,WSPM,year,month,day,hour,dayofweek
166.0,17.0,82.0,3400.0,2.0,1.5,0,0.9,2017,1,7,8,5
154.0,20.0,82.0,3100.0,2.0,2.0,0,2.0,2017,1,7,9,5
142.0,21.0,73.0,300.0,4.0,2.1,0,1.0,2017,1,7,10,5
167.0,24.0,77.0,3200.0,9.0,2.6,0,1.8,2017,1,7,11,5
196.0,24.0,83.0,3400.0,12.0,2.1,0,1.7,2017,1,7,12,5
184.0,17.0,75.0,300.0,15.0,1.7,0,1.7,2017,1,7,13,5
156.0,10.0,68.0,2600.0,11.0,1.7,1,1.2,2017,1,7,14,5
115.0,8.0,65.0,2200.0,7.0,1.9,0,1.1,2017,1,7,15,5
99.0,9.0,73.0,2100.0,2.0,2.2,1,1.4,2017,1,7,16,5
95.0,8.0,67.0,1900.0,13.0,2.1,0,1.5,2017,1,7,17,5
102.0,7.0,83.0,2100.0,3.0,1.9,1,1.1,2017,1,7,18,5
96.0,6.0,71.0,1900.0,7.0,1.8,0,0.1,2017,1,7,19,5
100.0,7.0,82.0,2200.0,2.0,1.8,0,0.9,2017,1,7,20,5
111.0,7.0,83.0,2500.0,2.0,1.6,0,0.6,2017,1,7,21,5
93.0,12.0,80.0,200.0,2.0,1.4,0,1.0,2017,1,7,22,5
78.0,18.0,77.0,1900.0,2.0,1.0,0,0.0,2017,1,7,23,5
66.0,18.0,79.0,200.0,2.0,2.6,0,1.7,2017,1,8,0,6
66.0,19.0,66.0,1300.0,6.0,2.8,0,1.5,2017,1,8,1,6
22.0,15.0,38.0,500.0,29.0,2.6,0,2.2,2017,1,8,2,6
23.0,12.0,41.0,400.0,25.0,2.1,0,1.8,2017,1,8,3,6
19.0,11.0,33.0,400.0,29.0,1.6,0,2.3,2017,1,8,4,6
24.0,10.0,34.0,400.0,33.0,1.7,0,2.5,2017,1,8,5,6
16.0,9.0,25.0,400.0,45.0,1.5,0,2.8,2017,1,8,6,6
15.0,9.0,25.0,400.0,46.0,1.6,0,3.8,2017,1,8,7,6
18.0,10.0,28.0,500.0,45.0,1.5,0,3.2,2017,1,8,8,6
20.0,12.0,29.0,500.0,45.0,1.9,0,4.3,2017,1,8,9,6
15.0,13.0,27.0,500.0,52.0,2.8,0,3.6,2017,1,8,10,6
22.0,15.0,25.0,500.0,57.0,3.8,0,3.9,2017,1,8,11,6
18.0,15.0,22.0,500.0,63.0,5.0,0,2.8,2017,1,8,12,6
28.0,12.0,20.0,500.0,68.0,6.1,0,2.4,2017,1,8,13,6
22.0,10.0,19.0,500.0,73.0,7.2,0,2.3,2017,1,8,14,6
17.0,9.0,19.0,400.0,75.0,7.4,0,3.3,2017,1,8,15,6
14.0,8.0,18.0,300.0,79.0,6.9,0,3.0,2017,1,8,16,6
13.0,8.0,23.0,300.0,75.0,5.9,0,2.0,2017,1,8,17,6
14.0,8.0,28.0,400.0,69.0,5.7,0,2.7,2017,1,8,18,6
15.0,10.0,41.0,500.0,53.0,5.4,0,2.9,2017,1,8,19,6
21.0,12.0,46.0,600.0,48.0,4.9,0,2.6,2017,1,8,20,6
15.0,11.0,39.0,500.0,50.0,3.8,0,2.5,2017,1,8,21,6
13.0,7.0,25.0,300.0,65.0,3.5,0,2.5,2017,1,8,22,6
10.0,7.0,27.0,300.0,59.0,2.7,0,3.2,2017,1,8,23,6
10.0,6.0,33.0,300.0,50.0,2.4,0,4.3,2017,1,9,0,0
8.0,5.0,33.0,200.0,45.0,1.6,0,4.2,2017,1,9,1,0
9.0,4.0,36.0,300.0,39.0,1.2,0,3.2,2017,1,9,2,0
11.0,5.0,32.0,300.0,42.0,0.6,0,3.5,2017,1,9,3,0
6.0,4.0,20.0,300.0,79.0,0.0,0,3.6,2017,1,9,4,0
6.0,4.0,28.0,200.0,49.0,-0.2,0,3.4,2017,1,9,5,0
10.0,3.0,27.0,300.0,50.0,-0.5,0,4.6,2017,1,9,6,0
11.0,3.0,30.0,300.0,45.0,-1.0,0,1.8,2017,1,9,7,0
9.0,6.0,35.0,400.0,39.0,-1.175,0,1.9,2017,1,9,8,0
16.0,6.0,28.0,400.0,47.0,-1.1,0,3.9,2017,1,9,9,0
13.0,7.0,23.0,500.0,54.0,-0.225,0,4.3,2017,1,9,10,0
12.0,6.0,20.0,400.0,60.0,0.575,0,3.1,2017,1,9,11,0
17.0,4.0,14.0,400.0,79.0,1.575,0,0.9,2017,1,9,12,0
7.0,4.0,20.0,400.0,65.0,2.85,0,2.2,2017,1,9,13,0
15.0,4.0,34.0,500.0,56.0,3.7,0,3.5,2017,1,9,14,0
43.0,6.0,34.0,500.0,58.0,3.9,0,3.4,2017,1,9,15,0
34.0,9.0,38.0,700.0,60.0,3.825,0,3.7,2017,1,9,16,0
50.0,7.0,55.0,900.0,38.0,2.7,0,4.0,2017,1,9,17,0
62.0,7.0,59.0,800.0,31.0,1.275,0,2.7,2017,1,9,18,0
79.0,5.0,63.0,1100.0,30.0,0.275,0,2.0,2017,1,9,19,0
114.0,5.0,78.0,1300.0,17.0,-0.375,0,3.8,2017,1,9,20,0
126.0,5.0,86.0,1600.0,10.0,-0.35,0,3.3,2017,1,9,21,0
132.0,5.0,91.0,1700.0,4.0,-0.425,0,5.5,2017,1,9,22,0
120.0,5.0,95.0,1800.0,2.0,-0.525,0,2.8,2017,1,9,23,0
105.0,13.0,89.0,1300.0,2.0,-0.55,0,1.9,2017,1,10,0,1
70.0,16.0,96.0,1800.0,2.0,0.575,0,4.8,2017,1,10,1,1
19.0,4.0,44.0,600.0,34.0,1.525,0,2.9,2017,1,10,2,1
7.0,2.0,17.0,200.0,61.0,0.4,0,4.8,2017,1,10,3,1
20.0,3.0,29.0,300.0,42.0,-0.875,0,5.6,2017,1,10,4,1
10.0,5.0,43.0,300.0,35.0,-1.45,0,4.1,2017,1,10,5,1
10.0,3.0,33.0,300.0,44.0,-1.475,0,3.6,2017,1,10,6,1
11.0,5.0,27.0,300.0,52.0,-1.4125,0,2.3,2017,1,10,7,1
8.0,4.0,34.0,300.0,45.0,13.58460741756848,0,2.6,2017,1,10,8,1
6.0,5.0,35.0,400.0,46.0,-1.075,0,2.4,2017,1,10,9,1
6.0,3.0,24.0,300.0,60.0,0.0666666666666667,0,4.3,2017,1,10,10,1
6.0,2.0,12.0,300.0,73.0,0.95,0,5.6,2017,1,10,11,1
6.0,2.0,9.0,200.0,78.0,2.2,0,5.3,2017,1,10,12,1
6.0,2.0,6.0,300.0,42.0,2.825,0,5.0,2017,1,10,13,1
6.0,9.0,6.0,900.0,69.0,3.85,0,4.3,2017,1,10,14,1
6.0,9.0,53.0,300.0,70.0,4.48,0,2.0,2017,1,10,15,1
6.0,4.0,53.0,300.0,65.0,4.05,0,3.4,2017,1,10,16,1
9.0,4.0,19.0,400.0,42.0,2.35,0,2.7,2017,1,10,17,1
17.0,5.0,34.0,500.0,48.0,13.58460741756848,0,2.0,2017,1,10,18,1
50.0,7.0,59.0,700.0,27.0,0.5,0,1.7,2017,1,10,19,1
108.0,15.0,88.0,1300.0,15.0,-0.075,0,1.5,2017,1,10,20,1
98.0,13.0,96.0,1400.0,13.0,-0.525,0,0.6,2017,1,10,21,1
103.0,13.0,94.0,1500.0,11.0,-1.425,0,1.6,2017,1,10,22,1
103.0,19.0,95.0,1500.0,10.0,-1.5,0,1.9,2017,1,10,23,1
105.0,34.0,95.0,1600.0,11.0,-2.33333333333333,0,1.3,2017,1,11,0,2
105.0,42.0,93.0,1800.0,12.0,-3.625,0,1.0,2017,1,11,1,2
102.0,42.0,89.0,1600.0,13.0,-4.4,0,1.3,2017,1,11,2,2
150.0,29.0,104.0,3100.0,14.0,-4.95,0,1.2,2017,1,11,3,2
128.0,29.0,106.0,3500.0,42.0,-4.775,0,0.5,2017,1,11,4,2
87.0,32.0,97.0,2800.0,11.0,-5.15,0,1.4,2017,1,11,5,2
75.0,30.0,95.0,2500.0,9.0,-5.225,0,1.7,2017,1,11,6,2
40.0,18.0,78.0,1500.0,4.0,-5.625,0,0.5,2017,1,11,7,2
28.0,12.0,73.0,1100.0,4.0,-5.975,0,0.3,2017,1,11,8,2
29.0,15.0,68.0,1100.0,9.0,-5.1,0,0.2,2017,1,11,9,2
54.0,17.0,78.0,1800.0,9.0,-1.85,0,1.2,2017,1,11,10,2
6.0,19.0,53.0,2100.0,14.0,0.625,0,1.1,2017,1,11,11,2
6.0,20.0,81.0,1800.0,22.0,2.575,0,0.7,2017,1,11,12,2
50.0,29.0,86.0,1800.0,25.0,4.4,0,1.5,2017,1,11,13,2
37.0,29.0,68.0,1300.0,35.0,6.04,0,2.5,2017,1,11,14,2
52.0,16.0,84.0,1200.0,41.0,6.4,0,1.5,2017,1,11,15,2
60.0,26.0,89.0,1300.0,21.0,6.525,0,1.9,2017,1,11,16,2
103.0,30.0,111.0,1500.0,22.0,5.625,0,1.5,2017,1,11,17,2
66.0,27.0,94.0,1300.0,21.0,3.6,0,1.3,2017,1,11,18,2
60.0,29.0,78.0,900.0,35.0,1.475,0,1.0,2017,1,11,19,2
29.0,22.0,74.0,800.0,28.0,0.05,0,1.5,2017,1,11,20,2
32.0,20.0,73.0,800.0,30.0,0.4,0,0.9,2017,1,11,21,2
43.0,12.0,88.0,1000.0,16.0,-0.175,0,1.0,2017,1,11,22,2
53.0,25.0,104.0,1000.0,8.0,-0.175,0,1.4,2017,1,11,23,2
38.0,24.0,88.0,800.0,13.0,1.25,0,1.8,2017,1,12,0,3
35.0,19.0,96.0,700.0,14.0,-0.475,0,1.2,2017,1,12,1,3
44.0,17.0,85.0,600.0,10.0,-1.0,0,1.6,2017,1,12,2,3
49.0,15.0,83.0,900.0,13.0,-1.95,0,0.7,2017,1,12,3,3
50.0,21.0,99.0,800.0,36.0,-2.1,0,0.2,2017,1,12,4,3
36.0,17.0,91.0,800.0,3.0,-1.675,0,2.8,2017,1,12,5,3
38.0,16.0,79.0,700.0,12.0,0.975,0,2.3,2017,1,12,6,3
32.0,18.0,44.0,500.0,45.0,0.275,0,1.0,2017,1,12,7,3
44.0,16.0,63.0,600.0,35.0,-1.1,0,1.3,2017,1,12,8,3
59.0,17.0,61.0,600.0,37.0,-1.05,0,1.1,2017,1,12,9,3
41.0,10.0,32.0,500.0,60.0,1.15,0,2.3,2017,1,12,10,3
41.0,16.0,23.0,400.0,78.0,2.48,0,2.2,2017,1,12,11,3
36.0,14.0,26.0,500.0,83.0,3.66666666666667,0,3.4,2017,1,12,12,3
73.0,24.0,45.0,700.0,66.0,4.1,0,3.4,2017,1,12,13,3
80.0,30.0,73.0,1200.0,62.0,5.04,0,4.5,2017,1,12,14,3
98.0,28.0,75.0,1400.0,66.0,5.3,0,4.1,2017,1,12,15,3
92.0,35.0,87.0,1500.0,48.0,5.15,0,3.7,2017,1,12,16,3
104.0,34.0,101.0,1600.0,34.0,4.325,0,1.9,2017,1,12,17,3
116.0,31.0,106.0,1800.0,30.0,2.9,0,1.5,2017,1,12,18,3
136.0,27.0,108.0,2000.0,33.0,1.775,0,1.5,2017,1,12,19,3
128.0,29.0,115.0,1900.0,17.0,0.975,0,0.7,2017,1,12,20,3
67.0,5.0,32.0,400.0,80.0,-0.25,0,1.1,2017,1,12,21,3
44.0,2.0,25.0,300.0,84.0,2.025,0,3.0,2017,1,12,22,3
25.0,10.0,26.0,300.0,88.0,3.675,0,2.4,2017,1,12,23,3
13.0,12.0,17.0,300.0,76.0,3.05,0,3.1,2017,1,13,0,4
32.0,10.0,40.0,400.0,67.0,2.425,0,2.6,2017,1,13,1,4
23.0,9.0,36.0,400.0,66.0,1.125,0,3.3,2017,1,13,2,4
12.0,14.0,20.0,200.0,75.0,0.05,0,4.0,2017,1,13,3,4
14.0,17.0,13.0,200.0,80.0,-0.875,0,1.3,2017,1,13,4,4
23.0,17.0,19.0,200.0,83.0,-2.15,0,0.9,2017,1,13,5,4
23.0,15.0,27.0,300.0,72.0,-3.175,0,1.5,2017,1,13,6,4
32.0,21.0,36.0,400.0,60.0,-3.0,0,2.9,2017,1,13,7,4
31.0,14.0,50.0,500.0,54.0,-2.175,0,3.2,2017,1,13,8,4
28.0,10.0,31.0,400.0,68.0,-1.65,0,5.3,2017,1,13,9,4
24.0,15.0,28.0,400.0,66.0,-0.9,0,3.6,2017,1,13,10,4
31.0,19.0,19.0,400.0,79.0,0.15,0,4.7,2017,1,13,11,4
26.0,19.0,10.0,300.0,89.0,1.025,0,3.8,2017,1,13,12,4
22.0,6.0,16.0,300.0,88.0,1.95,0,5.7,2017,1,13,13,4
24.0,6.0,15.0,300.0,90.0,2.8,0,4.3,2017,1,13,14,4
27.0,7.0,9.0,200.0,89.0,3.2,0,4.4,2017,1,13,15,4
29.0,12.0,9.0,200.0,85.0,3.25,0,3.8,2017,1,13,16,4
26.0,12.0,24.0,300.0,87.0,2.9,0,2.3,2017,1,13,17,4
33.0,14.0,37.0,300.0,73.0,2.175,0,3.3,2017,1,13,18,4
33.0,17.0,35.0,400.0,61.0,1.525,0,3.8,2017,1,13,19,4
40.0,16.0,42.0,600.0,62.0,0.825,0,3.0,2017,1,13,20,4
37.0,25.0,42.0,500.0,55.0,0.075,0,3.6,2017,1,13,21,4
34.0,26.0,44.0,400.0,57.0,-0.5,0,3.4,2017,1,13,22,4
34.0,17.0,42.0,500.0,59.0,-0.8,0,2.5,2017,1,13,23,4
37.0,20.0,48.0,100.0,45.0,-1.55,0,0.6,2017,1,14,0,5
35.0,21.0,44.0,600.0,38.0,-2.425,0,2.2,2017,1,14,1,5
27.0,16.0,49.0,700.0,38.0,-2.45,0,1.2,2017,1,14,2,5
20.0,15.0,51.0,500.0,37.0,-4.125,0,2.9,2017,1,14,3,5
31.0,14.0,50.0,600.0,84.0,-4.15,0,2.6,2017,1,14,4,5
18.0,8.0,49.0,500.0,40.0,-4.875,0,1.6,2017,1,14,5,5
20.0,14.0,50.0,500.0,35.0,-5.025,0,3.1,2017,1,14,6,5
21.0,12.0,53.0,600.0,30.0,-4.95,0,1.8,2017,1,14,7,5
43.0,14.0,68.0,700.0,15.0,-5.6,0,1.5,2017,1,14,8,5
44.0,36.0,74.0,1100.0,23.0,-4.8,0,2.9,2017,1,14,9,5
56.0,32.0,72.0,1200.0,35.0,-2.575,0,3.6,2017,1,14,10,5
31.0,15.0,38.0,600.0,61.0,-1.475,0,3.0,2017,1,14,11,5
18.0,12.0,33.0,500.0,59.0,-0.175,0,1.3,2017,1,14,12,5
17.0,12.0,19.0,400.0,77.0,1.075,0,1.7,2017,1,14,13,5
10.0,4.0,25.0,400.0,63.0,1.96,0,2.5,2017,1,14,14,5
23.0,3.0,35.0,400.0,68.0,2.63333333333333,0,2.1,2017,1,14,15,5
16.0,13.0,30.0,400.0,72.0,2.65,0,2.4,2017,1,14,16,5
40.0,15.0,50.0,500.0,54.0,1.725,0,1.6,2017,1,14,17,5
